tag_id,tag_name,tag_ref,comments
1,bastardy,H4020,
2,bastardy,H4979,
3,bastardy,H4316,
4,bastardy,D1697/3,
5,bastardy,H3408,
6,bastardy,H3272,
7,bastardy,H4988,
8,bastardy,H3555,
9,bastardy,D1696/1,
10,bastardy,H2923,ref H.2923A
11,bastardy,H3145,
12,bastardy,H2560,
13,bawdyhouse,D1668/6,
14,bawdyhouse,G3491,corrected ref
15,bawdyhouse,H3802,
16,bestiality,H4326,
17,cheat,H4379,
18,cheat,H4321,
19,cheat,D1693/2,
20,cheat,H4057,
21,cheat,D1691/5,
22,cheat,H3668,
23,cuckold,D1669/3,
24,cuckold,H2507,
25,cuckoldry,H2679,
26,cuckoldry,H4301,
27,cuckoldry,H3001,
28,cuckoldry,H3810,
29,impudent,D1675/11,
30,impudent,D1676/6,
31,impudent,H4271,
32,impudent,H5008,
33,impudent,H3443,
34,impudent,H3098,
35,impudent,H3109,
36,impudent,H4325,
37,impudent,H2923,ref H.2923A
38,impudent,H3145,
39,impudent,H2909,
40,impudent,H4988,
41,nolibel,D1676/6,
42,nolibel,D1661/1,
43,nolibel,D1690/5,
44,office,G3491,corrected ref
45,office,H4258,
46,office,H4534,
47,office,H3649,
48,office,D1683/5,
49,office,D1691/6,
50,office,D1691/5,
51,office,H4326,
52,office,H3300,
53,office,D1696/1,
54,office,H3668,
55,office,H4321,
56,office,H4057,
57,office,H4302,
58,office,H4320,
59,office,H3654,
60,outsider,H3692,
61,outsider,D1668/6,
62,outsider,H4320,
63,outsider,H4489,
64,outsider,D1692/9,
65,pox,D1661/2,
66,pox,D1662/4,
67,pox,D1668/2,
68,pox,D1661/1,
69,pox,H4325,
70,pox,H4489,
71,pox,H3109,
72,pox,H3098,
73,pox,H4451,
74,pox,H3001,
75,pox,H2909,
76,pox,H4456,
77,pox,H4548,
78,pox,H3692,
79,pox,H4020,
80,rape,D1672/1,
81,rape,D1672/2,
82,rogue,D1661/1,
83,rogue,D1672/1,
84,rogue,D1672/2,
85,rogue,D1691/6,
86,rogue,H4958,
87,rogue,H4379,
88,rogue,H4534,
89,rogue,H3107,
90,rogue,H4451,
91,rogue,H4321,
92,rogue,H4267,
93,rogue,H4302,
94,rogue,D1693/2,
95,rogue,H3654,
96,rogue,D1690/5,
97,rogue,H4057,
98,rogue,H4320,
99,rogue,H3668,
100,rogue,D1690/1,
101,rogue,H2711,
102,rogue,H4258,
103,rogue,D1685/4,
104,rogue,H4534A,
105,rogue,D1691/5,
106,rogue,H4979,
107,rogue,H3300,
108,sentence,G3491,corrected ref
109,sentence,D1688/9,
110,sentence,H4988,
111,sentence,H4979,
112,sentence,H3649,
113,sentence,H2560,
114,sentence,H3646,
115,sentence,H3668,
116,sentence,H3692,
117,sonofwhore,D1691/6,
118,sonofwhore,H4267,
119,sonofwhore,H3107,
120,thief,H3644,
121,thief,H4958,
122,thief,H4301,
123,thief,H3649,
124,thief,H3409,
125,thief,H4076,
126,thief,H3654,
127,thief,H3646,
128,thief,H4320,
129,thief,H3300,
130,whore,D1661/2,
131,whore,D1662/4,
132,whore,D1668/6,
133,whore,D1672/4,
134,whore,D1675/11,
135,whore,D1676/6,
136,whore,H3410,
137,whore,D1677/7,
138,whore,H2923,ref H.2923A
139,whore,H3170,
140,whore,H2909,
141,whore,H3109,
142,whore,H3001,
143,whore,H3810,
144,whore,H3646,
145,whore,H2473,
146,whore,H3145,
147,whore,H2679,
148,whore,H3644,
149,whore,H3296,
150,whore,H4965,
151,whore,H3443,
152,whore,H3098,
153,whore,H4020,
154,whore,H4271,
155,whore,H4557,
156,whore,H4548,
157,whore,H4230,
158,whore,H5008,
159,whore,D1692/9,
160,whore,D1689/2,
161,whore,H4456,
162,whore,H5008A,
163,whore,D1661/1,
164,whore,H4316,
165,whore,D1688/9,
166,whore,D1697/3,
167,whore,H2758,
168,whore,D1685/1,
169,whore,H4301,
170,whore,H3408,
171,whore,H3802,
172,whore,H4293,
173,whore,D1685/3,
174,whore,H3272,
175,whore,H4988,
176,whore,H4326,
177,whore,H4325,
178,whore,H4489,
179,whore,H3692,
180,whore,H3649,
181,whore,H3409,
182,whore,H4471A,
183,whore,H4076,
184,whoremaster,D1672/1,
185,whoremaster,D1672/2,
186,whoremaster,D1672/8,
187,whoremaster,H4451,
188,whoremaster,D1685/4,
189,whoremaster,H2711,
190,whoremaster,D1691/6,
191,whoremaster,H4958,
192,whoremaster,H4379,
193,whoremaster,H4534A,
194,whoremaster,H3475,
195,whoremaster,H4534,
196,whoremaster,H4979,
197,witch,H4965,
198,witch,H2473,
199,sentence,H2821,added?
200,sonofwhore,H2821,added?
201,nolibel,H2821,added?
202,appearance,H4109,added dec 2025
203,appearance,D1663/16,added dec 2025
204,nolibel,H4469,added dec 2025
205,office,H4301,added dec 2025
206,office,H4325,added dec 2025
221,nolibel,D1664/6,additional causes
222,nolibel,D1666/5,additional causes
223,nolibel,D1671/12,additional causes
224,nolibel,D1678/5,additional causes
225,thief,D1685/10,additional causes
226,nolibel,D1685/10,additional causes
227,whore,D1687/1,additional causes
229,nolibel,D1687/1,additional causes
230,whore,D1691/2,additional causes
232,nolibel,D1691/8,additional causes
233,whore,D1691/10,additional causes
234,rogue,D1692/1,additional causes
235,thief,D1692/1,additional causes
236,office,D1692/1,additional causes
237,nolibel,D1695/5,additional causes
238,nolibel,D1697/2,additional causes
239,bastardy,D1700/1,additional causes
240,whoremaster,D1700/1,additional causes
242,sentence,D1700/1,additional causes
243,bawdyhouse,D1700/2,additional causes
244,whore,D1700/2,additional causes
246,nolibel,D1700/2,additional causes
